"country","date","deaths","schools_universities","self_isolating_if_ill","public_events","lockdown","social_distancing_encouraged","pop"
"Austria",2020-02-22,0,0,0,0,0,0,9006400
"Austria",2020-02-23,0,0,0,0,0,0,9006400
"Austria",2020-02-24,0,0,0,0,0,0,9006400
"Austria",2020-02-25,0,0,0,0,0,0,9006400
"Austria",2020-02-26,0,0,0,0,0,0,9006400
"Austria",2020-02-27,0,0,0,0,0,0,9006400
"Austria",2020-02-28,0,0,0,0,0,0,9006400
"Austria",2020-02-29,0,0,0,0,0,0,9006400
"Austria",2020-03-01,0,0,0,0,0,0,9006400
"Austria",2020-03-02,0,0,0,0,0,0,9006400
"Austria",2020-03-03,0,0,0,0,0,0,9006400
"Austria",2020-03-04,0,0,0,0,0,0,9006400
"Austria",2020-03-05,0,0,0,0,0,0,9006400
"Austria",2020-03-06,0,0,0,0,0,0,9006400
"Austria",2020-03-07,0,0,0,0,0,0,9006400
"Austria",2020-03-08,0,0,0,0,0,0,9006400
"Austria",2020-03-09,0,0,0,0,0,0,9006400
"Austria",2020-03-10,0,0,0,1,0,0,9006400
"Austria",2020-03-11,0,0,0,1,0,0,9006400
"Austria",2020-03-12,0,0,0,1,0,0,9006400
"Austria",2020-03-13,1,0,0,1,0,0,9006400
"Austria",2020-03-14,0,1,0,1,0,0,9006400
"Austria",2020-03-15,0,1,0,1,0,0,9006400
"Austria",2020-03-16,0,1,1,1,1,1,9006400
"Austria",2020-03-17,2,1,1,1,1,1,9006400
"Austria",2020-03-18,0,1,1,1,1,1,9006400
"Austria",2020-03-19,1,1,1,1,1,1,9006400
"Austria",2020-03-20,2,1,1,1,1,1,9006400
"Austria",2020-03-21,0,1,1,1,1,1,9006400
"Austria",2020-03-22,2,1,1,1,1,1,9006400
"Austria",2020-03-23,8,1,1,1,1,1,9006400
"Austria",2020-03-24,9,1,1,1,1,1,9006400
"Austria",2020-03-25,5,1,1,1,1,1,9006400
"Austria",2020-03-26,4,1,1,1,1,1,9006400
"Austria",2020-03-27,18,1,1,1,1,1,9006400
"Austria",2020-03-28,16,1,1,1,1,1,9006400
"Austria",2020-03-29,0,1,1,1,1,1,9006400
"Austria",2020-03-30,18,1,1,1,1,1,9006400
"Austria",2020-03-31,22,1,1,1,1,1,9006400
"Austria",2020-04-01,20,1,1,1,1,1,9006400
"Austria",2020-04-02,18,1,1,1,1,1,9006400
"Austria",2020-04-03,12,1,1,1,1,1,9006400
"Austria",2020-04-04,10,1,1,1,1,1,9006400
"Austria",2020-04-05,18,1,1,1,1,1,9006400
"Austria",2020-04-06,18,1,1,1,1,1,9006400
"Austria",2020-04-07,16,1,1,1,1,1,9006400
"Austria",2020-04-08,23,1,1,1,1,1,9006400
"Austria",2020-04-09,30,1,1,1,1,1,9006400
"Austria",2020-04-10,22,1,1,1,1,1,9006400
"Austria",2020-04-11,24,1,1,1,1,1,9006400
"Austria",2020-04-12,18,1,1,1,1,1,9006400
"Austria",2020-04-13,13,1,1,1,1,1,9006400
"Austria",2020-04-14,18,1,1,1,1,1,9006400
"Austria",2020-04-15,16,1,1,1,1,1,9006400
